team_name_home team_name_away,0
Italy England,1
England Denmark,0
Italy Spain,1
Ukraine England,2
Czech Republic Denmark,2
Belgium Italy,2
Switzerland Spain,1
Sweden Ukraine,2
England Germany,0
France Switzerland,1
Croatia Spain,2
Belgium Portugal,0
Netherlands Czech Republic,2
Italy Austria,0
Wales Denmark,2
Portugal France,1
Germany Hungary,1
Sweden Poland,0
Slovakia Spain,2
Croatia Scotland,0
Czech Republic England,2
Finland Belgium,2
Russia Denmark,2
Ukraine Austria,2
North Macedonia Netherlands,2
Italy Wales,0
Switzerland Turkey,0
Spain Poland,1
Portugal Germany,2
Hungary France,1
England Scotland,1
Croatia Czech Republic,1
Sweden Slovakia,0
Netherlands Austria,0
Denmark Belgium,2
Ukraine North Macedonia,0
Italy Switzerland,0
Turkey Wales,2
Finland Russia,2
France Germany,0
Hungary Portugal,2
Spain Sweden,1
Poland Slovakia,2
Scotland Czech Republic,2
Netherlands Ukraine,0
Austria North Macedonia,0
England Croatia,0
Belgium Russia,0
Denmark Finland,2
Wales Switzerland,1
Turkey Italy,2
